Product,Price,Discount,Ratings,Reviews Count,Category,Link
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","38,490",-27%,4.0 out of 5 stars,488 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mzg2Mjc0MDAwMjEyMTA5OjE3NTgwMTg5OTc6c3BfYXRmOjMwMDYxODExMzIwNzQzMjo6MDo6&url=%2FHP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU%2Fdp%2FB0F4R3GFMQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758018997%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=NDHqna14oy&sp_cr=ZAZ
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win 11, Office 24, Silver, 1.59kg, fd0467tu, Iris Xe Graphics, FHD Camera, Backlit KB Laptop","55,990",-24%,3.7 out of 5 stars,60 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mzg2Mjc0MDAwMjEyMTA5OjE3NTgwMTg5OTc6c3BfYXRmOjMwMDY3MjU4NTE2MzQzMjo6MDo6&url=%2FHP-i5-1334U-Microsoft-Graphics-fd0467tu%2Fdp%2FB0DTK9DZB4%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758018997%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=mwmKU0ULtO&sp_cr=ZAZ
"ASUS ROG Strix G16, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5050-8GB/115W TGP/16GB RAM/1TB SSD/FHD+/16""/165Hz/90Whr/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PH-RV033WS","1,39,990",-3%,5.0 out of 5 stars,4 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/ASUS-5050-8GB-Windows-Eclipse-G614PH-RV033WS/dp/B0FB9G9XVG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-3
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, ek1074tu/1148tu, Iris Xe, FPR, 5MP Camera, Backlit KB Laptop","66,435",-27%,3.7 out of 5 stars,219 ratings,Computers & Accessories > › > Laptops > › > 2 in 1 Laptops,https://www.amazon.in/HP-Pavilion-i5-1335U-Laptop-Touchscreen/dp/B0CJ2KWNNQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-4
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","22,490",-34%,3.4 out of 5 stars,526 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-5
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U,Thin & Light Laptop (AMD Radeon iGPU/16GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.38 kg) E1404FA-NK5542WS","37,990",-28%,3.9 out of 5 stars,62 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/ASUS-Vivobook-Laptop-Windows-E1404FA-NK5542WS/dp/B0DTY1C216/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-6
"Dell 15 Thin & Light Laptop, 13th Generation Intel Core i3-1305U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Windows 11 + MSO'24, 12 Month McAfee, Grey, 1.69kg","36,990",-25%,4.0 out of 5 stars,270 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-7
"Acer ALG, Intel Core i5 13th Gen - 13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, 144Hz, Windows 11 Home, Steel Gray, 1.99 KG, AL15G-53,Gaming Laptop","59,990",-20%,4.0 out of 5 stars,72 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Acer-ALG-Intel-Core-13th/dp/B0DXVGVNKN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-8
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","31,490",-35%,3.5 out of 5 stars,178 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-9
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1.35 kg)","22,390",-26%,3.6 out of 5 stars,97 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vOQwisk65sFNw3aXnUVIdPlVvFJon0FzsQUuXT-68XFPC3rH0h2IhyTI-MtfVrGSH1K5_WBmp7TXv3UmSg_gh6iQf-nSTLVtbvaRJgZs2BvcheREz1r6GrBlH2y_nk4WGEG-r2QqoL8Kf_g_EATFaM9vAT1I4M28PZWq9fcpWhzsXOy24DqlM88rMK5wsBJDMYZyMis_8yWBiwD_rlGeh5wgNIkgP_bN3xVYMtYwTzY.973co3vf3gD1KF8VlHLXY-UvVORAMh_US0w2Skidmrw&dib_tag=se&keywords=laptop&qid=1758018997&sr=8-10
