Product,Price,Discount,Ratings,Reviews Count,Category,Link
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Metallic Design, H-Series Intel Core 5 120U - ...",43990,40% off,4.1 out of 5 stars,8,electronics,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-metallic-design-h-series-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-bq543ws-thin-light-laptop/p/itmf2db819e1b048?pid=COMHEZZTXFYMTKUF&lid=LSTCOMHEZZTXFYMTKUFUNOOJC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_az8wxlcKaCcycrK7oL-Ok0LWrt3cCp5PXnCJBhR82nq3uMt37q2h2Kw5CDGuRnxNeegjTVA9sI76_pWFaMP0q_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Lenovo LOQ 2025 AMD Ryzen 7 Octa Core 250 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,122490,19% off,,,electronics,https://www.flipkart.com/lenovo-loq-2025-amd-ryzen-7-octa-core-250-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5060-15ahp10-gaming-laptop/p/itma6142241c632d?pid=COMHEWAJYYBWBSKF&lid=LSTCOMHEWAJYYBWBSKFVFYRRC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_az8wxlcKaCcycrK7oL-Ok0LWrt3cCp5PXnCJBhR82np2d__-1lzOnJWQibumfwpsnwrhgd0pgYOxCmzL6CVfp_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,31990,44% off,4.4 out of 5 stars,594,electronics,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMH4Y6KKRC9YSWE.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,52989,41% off,4.3 out of 5 stars,141,electronics,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMH3G96MYGWSGTF.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,54990,35% off,4.3 out of 5 stars,169,electronics,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMH3G96J7CE6ZPH.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) XL30 Th...,14990,50% off,3.9 out of 5 stars,145,electronics,https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-n5100-4-gb-128-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm0b2fc88ba43f7?pid=COMGQHVMHPPH7XHC&lid=LSTCOMGQHVMHPPH7XHC6SOYMY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_az8wxlcKaCcycrK7oL-Ok0LWrt3cCp5PXnCJBhR82np2DE9Lsf0F_7_tbWzVvW8YKxzGyccm9ZNfC_BGHjIbkuvN4Mn-dv-pi277bRzMbnY%3D&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,79990,27% off,4.7 out of 5 stars,112,electronics,https://www.flipkart.com/apple-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/p/itmdc5308fa78421?pid=COMGFB2GDBDYXF9D&lid=LSTCOMGFB2GDBDYXF9DPTKNCZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMGFB2GDBDYXF9D.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,67990,24% off,4.7 out of 5 stars,"1,095",electronics,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itmdc5308fa78421?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMGFB2GMCRXZG85.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,25989,48% off,4.2 out of 5 stars,172,electronics,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMH4B6CGTPNVJW9.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,63989,25% off,4.7 out of 5 stars,178,electronics,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7x4hn-a/p/itmdc5308fa78421?pid=COMH64PY76CJKBYU&lid=LSTCOMH64PY76CJKBYUOL7TOK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=1d2e9f5b-2988-487d-bcb9-2a0fa3cb8966.COMH64PY76CJKBYU.SEARCH&ppt=sp&ppn=sp&ssid=erk157gu740000001758543778290&qH=312f91285e048e09
